timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_003250,14,16384,16384,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.015,0.786,61,0.044,1.626,10.074,1
20260207_003250,15,16384,16384,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.028,0.692,61,0.023,1.743,9.399,1
20260207_003250,16,32768,32768,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.025,0.922,76,0.033,2.052,15.968,1
20260207_003250,17,32768,32768,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.072,1.244,76,0.051,2.348,13.955,1
20260207_003250,18,32768,32768,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.025,1.038,76,0.034,1.940,16.894,1
20260207_003250,19,65536,65536,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.045,1.187,92,0.093,2.225,29.454,1
20260207_003250,20,65536,65536,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.045,1.191,92,0.054,2.187,29.966,1
20260207_003250,21,65536,65536,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.045,1.323,92,0.051,2.332,28.102,1
20260207_003250,22,131072,131072,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.084,1.253,109,0.093,2.303,56.901,1
20260207_003250,23,131072,131072,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.085,1.302,109,0.092,2.545,51.496,1
20260207_003250,24,131072,131072,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.085,1.361,109,0.106,2.626,49.911,1
20260207_003250,25,262144,262144,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.163,2.121,127,0.199,3.621,72.387,1
20260207_003250,26,262144,262144,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.163,2.176,127,0.181,3.791,69.155,1
20260207_003250,27,262144,262144,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.164,1.853,127,0.173,3.171,82.667,1
20260207_003250,28,524288,524288,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.321,2.325,146,0.371,5.141,101.990,1
20260207_003250,29,524288,524288,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.320,2.504,146,0.366,4.845,108.210,1
20260207_003250,30,524288,524288,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.322,2.506,146,0.361,5.571,94.117,1
20260207_003250,31,1048576,1048576,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.638,7.313,166,0.683,12.471,84.080,1
20260207_003250,32,1048576,1048576,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.637,7.293,166,0.685,11.452,91.559,1
20260207_003250,33,1048576,1048576,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.638,7.316,166,0.690,11.677,89.800,1
20260207_003250,34,2097152,2097152,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.264,15.745,187,1.327,24.642,85.107,1
20260207_003250,35,2097152,2097152,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.262,15.770,187,1.316,24.354,86.109,1
20260207_003251,36,2097152,2097152,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.265,15.738,187,1.318,24.281,86.372,1
20260207_003251,37,4194304,4194304,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.516,34.085,209,2.586,51.253,81.836,1
20260207_003251,38,4194304,4194304,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.520,34.078,209,2.585,50.676,82.766,1
20260207_003252,39,4194304,4194304,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.517,34.014,209,2.594,50.101,83.717,1
20260207_003252,40,8388608,8388608,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.026,74.268,232,5.111,103.840,80.784,1
20260207_003253,41,8388608,8388608,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.025,74.105,232,5.123,104.586,80.208,1
20260207_003254,42,8388608,8388608,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.025,74.063,232,5.144,104.971,79.913,1
20260207_003255,43,16777216,16777216,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.042,161.890,256,10.186,220.086,76.230,1
20260207_003257,44,16777216,16777216,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.044,160.593,256,10.227,218.632,76.737,1
20260207_003259,45,16777216,16777216,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.044,160.914,256,10.224,219.575,76.408,1
