timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_003250,1,1024,1024,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.084,0.523,11,0.020,1.493,0.686,1
20260207_003250,2,1024,1024,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.006,0.142,11,0.019,1.009,1.015,1
20260207_003250,3,1024,1024,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.032,0.148,11,0.021,0.992,1.032,1
20260207_003250,4,2048,2048,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.008,0.426,22,0.034,1.454,1.409,1
20260207_003250,5,2048,2048,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.026,0.270,22,0.019,1.083,1.891,1
20260207_003250,6,2048,2048,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.007,0.294,22,0.019,1.232,1.663,1
20260207_003250,7,4096,4096,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.008,0.389,34,0.036,1.347,3.042,1
20260207_003250,8,4096,4096,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.008,0.374,34,0.041,1.376,2.977,1
20260207_003250,9,4096,4096,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.008,0.431,34,0.018,1.320,3.103,1
20260207_003250,10,8192,8192,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.010,0.561,47,0.043,1.449,5.652,1
20260207_003250,11,8192,8192,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.030,0.591,47,0.017,1.462,5.603,1
20260207_003250,12,8192,8192,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.010,0.584,47,0.067,1.520,5.391,1
20260207_003250,13,16384,16384,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.015,0.692,61,0.028,1.506,10.881,1
