timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_005927,1,1024,1024,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.058,0.476,11,0.038,1.617,0.633,0
20260207_005927,2,1024,1024,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.006,0.169,11,0.020,1.056,0.969,0
20260207_005927,3,1024,1024,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.068,0.387,11,0.083,1.931,0.530,0
20260207_005927,4,2048,2048,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.006,0.274,22,0.040,1.145,1.789,0
20260207_005927,5,2048,2048,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.035,0.260,22,0.040,1.434,1.428,0
20260207_005927,6,2048,2048,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.006,0.244,22,0.019,1.066,1.921,0
20260207_005927,7,4096,4096,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.008,0.401,34,0.037,1.513,2.708,0
20260207_005927,8,4096,4096,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.008,0.390,34,0.040,1.429,2.867,0
20260207_005927,9,4096,4096,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.034,0.371,34,0.034,1.600,2.559,0
20260207_005927,10,8192,8192,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.010,0.624,47,0.046,1.591,5.150,0
20260207_005927,11,8192,8192,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.033,0.599,47,0.024,1.922,4.262,0
20260207_005927,12,8192,8192,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.031,0.666,47,0.023,1.632,5.019,0
20260207_005927,13,16384,16384,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.016,0.919,61,0.022,2.227,7.358,0
20260207_005927,14,16384,16384,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.015,0.873,61,0.030,2.272,7.211,0
20260207_005927,15,16384,16384,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.016,0.726,61,0.045,1.835,8.928,0
20260207_005927,16,32768,32768,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.082,1.046,76,0.059,2.244,14.604,0
20260207_005927,17,32768,32768,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.070,0.926,76,0.057,2.141,15.303,0
20260207_005927,18,32768,32768,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.028,0.913,76,0.040,2.045,16.022,0
20260207_005927,19,65536,65536,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.048,1.298,92,0.073,2.527,25.932,0
20260207_005927,20,65536,65536,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.045,1.222,92,0.077,2.385,27.477,0
20260207_005927,21,65536,65536,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.047,1.689,92,0.058,2.841,23.066,0
20260207_005927,22,131072,131072,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.085,1.334,109,0.094,2.601,50.395,0
20260207_005927,23,131072,131072,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.084,1.414,109,0.095,2.811,46.630,0
20260207_005927,24,131072,131072,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.086,1.690,109,0.117,3.020,43.394,0
20260207_005927,25,262144,262144,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.165,2.100,127,0.173,3.693,70.986,0
20260207_005927,26,262144,262144,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.165,1.975,127,0.174,3.595,72.929,0
20260207_005927,27,262144,262144,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.168,2.251,127,0.191,4.199,62.435,0
20260207_005927,28,524288,524288,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.329,2.733,146,0.380,5.473,95.788,0
20260207_005927,29,524288,524288,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.322,2.420,146,0.363,5.050,103.815,0
20260207_005927,30,524288,524288,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.322,2.297,146,0.374,5.103,102.731,0
20260207_005928,31,1048576,1048576,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.640,6.630,166,0.694,11.710,89.546,0
20260207_005928,32,1048576,1048576,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.636,6.592,166,0.685,11.252,93.186,0
20260207_005928,33,1048576,1048576,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.639,6.651,166,0.675,11.139,94.137,0
20260207_005928,34,2097152,2097152,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.265,14.264,187,1.330,23.083,90.853,0
20260207_005928,35,2097152,2097152,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.266,14.320,187,1.321,22.932,91.451,0
20260207_005928,36,2097152,2097152,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.267,14.279,187,1.322,23.252,90.192,0
20260207_005929,37,4194304,4194304,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.518,30.808,209,2.614,47.035,89.175,0
20260207_005929,38,4194304,4194304,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.521,30.807,209,2.591,46.188,90.810,0
20260207_005929,39,4194304,4194304,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.519,30.874,209,2.594,46.543,90.116,0
20260207_005930,40,8388608,8388608,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.030,67.283,232,5.143,100.746,83.265,0
20260207_005931,41,8388608,8388608,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.029,67.224,232,5.142,97.184,86.317,0
20260207_005931,42,8388608,8388608,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.029,67.261,232,5.147,95.549,87.794,0
20260207_005933,43,16777216,16777216,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.048,147.049,256,10.129,215.521,77.845,0
20260207_005935,44,16777216,16777216,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.049,146.091,256,10.226,207.602,80.814,0
20260207_005936,45,16777216,16777216,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.046,146.202,256,10.230,204.164,82.175,0
