timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260210_234657,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,128,1048576,80.318,1744.238,351,81.451,2188.903,61.317,1
20260210_234711,2,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,297.984,1707.103,343,81.437,2368.595,56.666,1
20260210_234726,3,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,305.156,1658.596,334,81.442,2347.995,57.163,1
20260210_234740,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,203.446,1634.677,324,81.438,2204.624,60.880,1
