timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_010615,31,2097152,2097152,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,1.267,15.816,187,1.316,25.453,82.392,1
20260207_010615,32,2097152,2097152,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,1.262,15.759,187,1.319,25.122,83.480,1
20260207_010615,33,2097152,2097152,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,1.265,15.807,187,1.320,24.568,85.363,1
20260207_010616,34,4194304,4194304,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,2.520,34.174,209,2.584,50.631,82.841,1
20260207_010616,35,4194304,4194304,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,2.522,34.078,209,2.585,50.652,82.806,1
20260207_010616,36,4194304,4194304,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,2.522,34.110,209,2.592,50.374,83.263,1
20260207_010617,37,1048576,1048576,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,0.638,8.452,156,0.694,14.979,70.004,1
20260207_010617,38,1048576,1048576,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,0.639,8.378,156,0.694,15.002,69.897,1
20260207_010617,39,1048576,1048576,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,0.637,8.384,156,0.683,12.870,81.472,1
20260207_010617,40,2097152,2097152,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,1.268,16.242,177,1.345,24.905,84.206,1
20260207_010617,41,2097152,2097152,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,1.264,16.238,177,1.320,24.851,84.390,1
20260207_010617,42,2097152,2097152,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,1.266,16.206,177,1.318,25.136,83.431,1
20260207_010618,43,4194304,4194304,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,2.521,34.038,199,2.589,50.309,83.371,1
20260207_010618,44,4194304,4194304,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,2.520,34.119,199,2.586,50.895,82.411,1
20260207_010618,45,4194304,4194304,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,1024,2.522,34.104,199,2.592,50.823,82.528,1
20260207_010619,46,1048576,1048576,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,0.646,8.397,156,0.683,14.146,74.125,1
20260207_010619,47,1048576,1048576,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,0.639,8.377,156,0.690,13.078,80.177,1
20260207_010619,48,1048576,1048576,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,0.640,8.394,156,0.703,13.782,76.083,1
20260207_010619,49,2097152,2097152,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,1.333,16.232,177,1.316,27.661,75.816,1
20260207_010619,50,2097152,2097152,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,1.270,24.700,177,1.326,34.950,60.005,1
20260207_010619,51,2097152,2097152,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,1.268,24.966,177,1.327,34.184,61.349,1
20260207_010620,52,4194304,4194304,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,2.522,47.597,199,2.598,66.059,63.493,1
20260207_010620,53,4194304,4194304,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,2.521,49.982,199,2.647,68.108,61.583,1
20260207_010621,54,4194304,4194304,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,2048,2.523,52.892,199,2.600,69.109,60.691,1
