timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260211_001442,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,128,1048576,80.280,1846.106,379,81.023,2337.870,57.410,1
20260211_001445,2,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,80.272,1841.974,379,81.084,2313.239,58.022,1
20260211_001448,3,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,80.271,1845.139,379,80.950,2323.338,57.769,1
20260211_001451,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,80.260,1915.286,379,81.031,2370.638,56.617,1
