timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260211_003830,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,128,1048576,80.322,1855.172,379,81.451,2381.302,56.363,1
20260211_003833,2,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,128,10240,80.316,1849.837,379,81.215,2370.188,56.627,1
20260211_003836,3,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,80.299,1845.183,379,81.185,2352.488,57.054,1
20260211_003839,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,10240,80.328,1851.536,379,81.259,2369.145,56.652,1
20260211_003842,5,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,80.308,1847.981,379,81.226,2347.897,57.165,1
20260211_003845,6,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,10240,80.303,1850.216,379,81.184,2349.619,57.123,1
