timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,algorithm,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_224805,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomHybrid(Radix)",0.000,1150.064,-1,0.000,1150.064,116.705,0
20260207_224816,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",171.462,53.246,1,84.166,308.875,434.538,1
20260207_224829,2,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomHybrid(Radix)",0.000,1082.315,-1,0.000,1082.315,124.010,0
20260207_224840,2,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",216.305,48.271,1,81.978,346.554,387.292,1
20260207_224853,3,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomHybrid(Radix)",0.000,1037.152,-1,0.000,1037.152,129.410,0
20260207_224904,3,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",287.158,48.794,1,81.978,417.930,321.149,1
20260207_224917,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomHybrid(Radix)",0.000,1169.982,-1,0.000,1169.982,114.718,1
20260207_224928,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",188.756,48.523,1,82.001,319.280,420.376,1
20260207_224941,5,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomHybrid(Radix)",0.000,1148.833,-1,0.000,1148.833,116.830,1
20260207_224953,5,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",183.857,48.636,1,81.966,314.460,426.820,1
20260207_225005,6,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomHybrid(Radix)",0.000,1078.258,-1,0.000,1078.258,124.476,1
20260207_225017,6,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",287.106,48.399,1,82.027,417.532,321.455,1
20260207_225030,7,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomHybrid(Radix)",0.000,1369.957,-1,0.000,1369.957,97.972,1
20260207_225041,7,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",191.121,48.391,1,82.045,321.556,417.401,1
20260207_225054,8,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomHybrid(Radix)",0.000,1326.767,-1,0.000,1326.767,101.162,1
20260207_225106,8,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",172.867,49.196,1,81.962,304.025,441.469,1
20260207_225119,9,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomHybrid(Radix)",0.000,1350.725,-1,0.000,1350.725,99.367,1
20260207_225130,9,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",293.576,48.506,1,81.962,424.044,316.518,1
