timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,sm_count,threads,algorithm,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260208_225323,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",20,128,"GPU-QuickSort (Fat)",108.266,4183.645,54768,125.428,4417.338,30.384,1
20260208_225328,2,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",20,256,"GPU-QuickSort (Fat)",107.402,4221.084,55123,123.916,4452.403,30.145,1
20260208_225333,3,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",20,512,"GPU-QuickSort (Fat)",108.323,4249.898,54640,122.792,4481.013,29.953,1
20260208_225338,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",20,1024,"GPU-QuickSort (Fat)",107.588,4163.761,55134,123.928,4395.278,30.537,1
